Date,Tournament,Location,Country,Country_Error,Category,Surface,Winner,Runner Up,Winner ATP Ranking (Current),Runner Up ATP Ranking (Current),Result,Points , Prize Money , Not Useful Column 
 07/01/2024,Brisbane International,Brisbane,Australia,Aus-tra-lia,ATP 250,Hard,Grigor Dimitrov,Holger Rune,10,13,7-6(5) 6-4,250,"$661,585.00 ", TRUE 
 07/01/2024,Bank of China Hong Kong Tennis Open,Hong Kong,China,"Ch""ina",ATP 250,Hard,Andrey Rublev,Emil Ruusuvuori,8,37,6-4 6-4,250,"$661,585.00 ", TRUE 
 13/01/2024,Adelaide International,Adelaide,Australia,Australia,ATP 250,Hard,Ji?í Lehe?ka,Jack Draper,28,15,4-6 6-4 6-3,250,"$661,585.00 ", TRUE 
 13/01/2024,ASB Classic,Auckland,New Zealand,New Zealand,ATP 250,Hard,Alejandro Tabilo ,Taro Daniel,23,84,6-2 7-5,250,"$661,585.00 ", TRUE 
 28/01/2024,Australian Open,Melbourne,Australia,Australia,Grand Slam,Hard,Jannik Sinner,Danil Medvedev,1,5,3-6 3-6 6-4 6-4 6-4,2000,"$38,923,200.00 ", TRUE 
 04/02/2024,Open Occitanie,Montpellier,France,France,ATP 250,Hard,Alexander Bublik,Borna Coric,33,90,5-7 6-2 6-3,250,"€ 579,320", TRUE 
 11/02/2024,Dallas Open,Dallas,United States,United States,ATP 250,Hard,Tommy Paul,Marcos Giron,12,46,7-6(3) 5-7 6-3,250,"$756,020.00 ", TRUE 
 11/02/2024,Open 13 Provence,Marseille,France,France,ATP 250,Hard,Ugo Humbert,Grigor Dimitrov,14,10,6-4 6-3,250,"€ 724,015", TRUE 
 11/02/2024,Córdoba Open,Córdoba,Argen|ti|na,Argen|ti|na,ATP 250,Clay,Luciano Darderi,Facundo Bagnis,44,144,6-1 6-4,250,"$562,345.00 ", TRUE 
 18/02/2024,ABN AMRO Open,Rotterdam,Netherlands,Net|her|lands,ATP 500,Hard,Jannik Sinner,Alex de Minaur,1,9,7-5 6-4,500,"€ 2,134,985", TRUE 
 18/02/2024,Delray Beach Open,Delray Beach,United States,United States,ATP 250,Hard,Taylor Fritz,Tommy Paul,4,12,6-2 6-3 ,250,"$661,585.00 ", TRUE 
 18/02/2024,Argen|ti|na Open,Buenos Aires,Argen|ti|na,Argen|ti|na,ATP 250,Clay,Facundo Diaz Acosta,Nicolas Jarry,79,35,6-3 6-4 ,250,"$642,615.00 ", TRUE 
 25/02/2024,Rio Open,Rio de Janeiro,Brazil,Brazil,ATP 500,Clay,Sebastian Baez,Mariano Navone,27,47, 6-2 6-1,500,"$2,100,230.00 ", TRUE 
 24/02/2024,Qatar ExxonMobil Open,Doha,Qatar,Qatar,ATP 250,Hard,Karen Khachanov,Jakub Mensik,19,48,7-6(12) 6-4,250,"$1,395,875.00 ", TRUE 
 24/02/2024,Mifel Tennis Open,Los Cabos,Mexico,Mexico,ATP 250,Hard,Jordan Thompson,Casper Ruud,26,6,6-3 7-6(4),250,"$915,245.00 ", TRUE 
 02/03/2024,Dubai Duty Free Tennis Championships,Dubai,United Arab Emirates,United/Arab -Emirates,ATP 500,Hard,Ugo Humbert,Alexander Bublik,14,33, 6-4 6-3,500,"$2,941,785.00 ", TRUE 
 02/03/2024,Abierto Mexicano Telcel,Acapulco,Mexico,Mexico,ATP 500,Hard,Alex de Minaur,Casper Ruud,9,6,6-4 6-4,500,"$2,206,080.00 ", TRUE 
 02/03/2024,Movistar Chile Open,Santiago,Chile,Chile,ATP 250,Clay,Sebastian Baez,Alejandro Tabilo ,27,23,3-6 6-0 6-4,250,"$661,585.00 ", TRUE 
